drug1,drug2,enzyme_overlap,target_overlap,pathway_overlap,transporter_overlap,side_effect_overlap,interaction,risk_score,severity
Sertraline,Salmeterol,None,None,None,None,None,0,0.0292,LOW
Betamethasone,Quetiapine,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5298,HIGH
Saquinavir,Desipramine,None,None,None,P-glycoprotein (P-gp),None,0,0.1437,LOW
Carvedilol,Azilsartan,None,None,None,None,None,0,0.0697,LOW
Nifedipine,Gemifloxacin,None,None,None,None,None,0,0.0326,LOW
Rabeprazole,Clozapine,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5062,HIGH
Sertraline,Formoterol,None,None,None,None,None,0,0.0648,LOW
Labetalol,Ranitidine,None,None,None,None,None,0,0.0455,LOW
Sertraline,Itraconazole,None,None,None,P-glycoprotein (P-gp),Nausea,0,0.2488,LOW
Vilanterol,Clonazepam,None,None,None,None,None,0,0.0305,LOW
Levalbuterol,Indacaterol,Sulfotransferase (SULT),Beta-2 adrenergic receptor,Bronchodilation signaling pathway,OCT1,Tremor;Palpitations;Hypokalemia;Tachycardia,1,0.9778,CRITICAL
Fludrocortisone,Dulaglutide,None,None,None,None,None,0,0.0527,LOW
Voriconazole,Bumetanide,None,None,None,None,None,0,0.0461,LOW
Celecoxib,Clomipramine,None,None,None,None,None,0,0.0486,LOW
Rivaroxaban,Lacosamide,CYP2C9;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5112,HIGH
Indomethacin,Olanzapine,None,None,None,None,None,0,0.0606,LOW
Azilsartan,Bumetanide,None,None,None,None,None,0,0.0248,LOW
Nizatidine,Methylprednisolone,None,None,None,None,None,0,0.0585,LOW
Fluvastatin,Dexlansoprazole,CYP3A4,None,None,None,Headache,1,0.534,HIGH
Dapagliflozin,Clomipramine,None,None,None,P-glycoprotein (P-gp),None,0,0.1034,LOW
Felodipine,Nortriptyline,None,None,None,P-glycoprotein (P-gp),None,0,0.1097,LOW
Atazanavir,Semaglutide,None,None,None,None,None,0,0.064,LOW
Lopinavir,Betamethasone,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Felodipine,Chlorthalidone,None,None,None,None,None,0,0.053,LOW
Ibuprofen,Naproxen,CYP2C9;CYP2C8,Cyclooxygenase-2 (COX-2);Cyclooxygenase-1 (COX-1),Arachidonic acid metabolism / Prostaglandin synthesis,OAT1;OAT3,Fluid retention;Gastric ulceration;Cardiovascular risk;Nephrotoxicity,1,1.0,CRITICAL
Rosuvastatin,Timolol,None,None,None,None,None,0,0.0111,LOW
Saquinavir,Triamcinolone,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Betamethasone,Nortriptyline,None,None,None,P-glycoprotein (P-gp),Weight gain,1,0.2773,MEDIUM
Dapagliflozin,Saxagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Glipizide,Formoterol,None,None,None,None,None,0,0.05,LOW
Citalopram,Desipramine,CYP2D6,Serotonin transporter (SERT),None,P-glycoprotein (P-gp),None,1,0.6433,HIGH
Nebivolol,Azilsartan,None,None,None,None,None,0,0.0601,LOW
Lamotrigine,Quetiapine,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.486,MEDIUM
Azithromycin,Imipramine,None,None,None,P-glycoprotein (P-gp),QTc prolongation,0,0.2211,LOW
Fluvoxamine,Betamethasone,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Saxagliptin,Lixisenatide,None,None,None,None,None,0,0.0417,LOW
Naproxen,Prazosin,None,None,None,None,None,0,0.0209,LOW
Posaconazole,Quetiapine,None,None,None,P-glycoprotein (P-gp),QTc prolongation,1,0.271,MEDIUM
Nimodipine,Nelfinavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Isradipine,Alendronate,None,None,None,None,None,0,0.0731,LOW
Ritonavir,Lixisenatide,None,None,None,None,None,0,0.047,LOW
Atenolol,Naratriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Diclofenac,Meloxicam,CYP2C9;CYP2C8,Cyclooxygenase-2 (COX-2);Cyclooxygenase-1 (COX-1),Arachidonic acid metabolism / Prostaglandin synthesis,OAT1;OAT3,Fluid retention;Gastric ulceration;Cardiovascular risk;Nephrotoxicity,1,1.0,CRITICAL
Propranolol,Glipizide,None,None,None,None,None,0,0.0329,LOW
Fluoxetine,Rizatriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Fosinopril,Gemifloxacin,None,None,None,None,None,0,0.0334,LOW
Delafloxacin,Fondaparinux,None,None,None,None,None,0,0.042,LOW
Candethartan,Betamethasone,CYP3A4,None,None,None,None,1,0.4362,MEDIUM
Nadolol,Amlodipine,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Oxcarbazepine,Formoterol,None,None,None,None,None,0,0.0107,LOW
Nisoldipine,Telmisartan,CYP3A4,None,None,None,Dizziness,1,0.5351,HIGH
Nicardipine,Liraglutide,None,None,None,None,None,0,0.0509,LOW
Rizatriptan,Topiramate,None,None,None,P-glycoprotein (P-gp),Dizziness,1,0.274,MEDIUM
Lacosamide,Hydrocortisone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5002,HIGH
Dexamethasone,Ziprasidone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4543,MEDIUM
Labetalol,Clevidipine,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Dexlansoprazole,Sertraline,CYP2C19,None,None,P-glycoprotein (P-gp),None,1,0.5355,HIGH
Alfuzosin,Risperidone,CYP2D6;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5567,HIGH
Tolbutamide,Exenatide,None,None,None,None,None,0,0.0174,LOW
Fluoxetine,Clomipramine,CYP2D6,Serotonin transporter (SERT),None,P-glycoprotein (P-gp),None,1,0.5577,HIGH
Indinavir,Lorazepam,None,None,None,P-glycoprotein (P-gp),None,0,0.1289,LOW
Sertraline,Darunavir,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Telithromycin,Desipramine,None,None,None,P-glycoprotein (P-gp),QTc prolongation,1,0.2066,LOW
Clarithromycin,Lamotrigine,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Levofloxacin,Edoxaban,None,None,None,None,None,0,0.0398,LOW
Rabeprazole,Timolol,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Propranolol,Erythromycin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Glimepiride,Triamcinolone,None,None,None,None,Weight gain,0,0.1748,LOW
Carvedilol,Fidaxomicin,None,None,None,P-glycoprotein (P-gp),None,1,0.1339,LOW
Citalopram,Bumetanide,None,None,None,None,None,0,0.0215,LOW
Diltiazem,Warfarin,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4618,MEDIUM
Diclofenac,Famotidine,None,None,None,None,None,0,0.06,LOW
Ciprofloxacin,Itraconazole,None,None,None,None,QTc prolongation,1,0.1988,LOW
Atorvastatin,Prazosin,CYP3A4,None,None,None,None,1,0.4139,MEDIUM
Imipramine,Cariprazine,CYP2D6;CYP1A2,None,None,P-glycoprotein (P-gp),QTc prolongation;Sedation,1,0.6897,HIGH
Diclofenac,Darunavir,None,None,None,None,None,0,0.0579,LOW
Indomethacin,Eprosartan,CYP2C9,None,None,None,None,1,0.3915,MEDIUM
Metoprolol,Metolazone,None,None,None,None,None,0,0.0563,LOW
Fluoxetine,Zolmitriptan,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Lovastatin,Nizatidine,None,None,None,None,Headache,0,0.1778,LOW
Pravastatin,Fluconazole,None,None,None,None,None,0,0.0391,LOW
Saxagliptin,Linagliptin,CYP3A4 (sitagliptin/saxagliptin),Dipeptidyl peptidase 4 (DPP-4),Incretin hormone pathway,P-glycoprotein (P-gp),Pancreatitis risk;Headache;Joint pain;Nasopharyngitis,1,1.0,CRITICAL
Alfuzosin,Hydrochlorothiazide,None,None,None,None,None,0,0.0115,LOW
Escitalopram,Valproate,CYP2C19,None,None,P-glycoprotein (P-gp),None,1,0.4825,MEDIUM
Pamidronate,Amitriptyline,None,None,None,None,None,0,0.0538,LOW
Ibuprofen,Carbamazepine,CYP2C9,None,None,None,None,1,0.4223,MEDIUM
Lovastatin,Dabigatran,CYP3A4,None,None,BCRP,None,1,0.4638,MEDIUM
Bisoprolol,Nisoldipine,None,None,None,P-glycoprotein (P-gp),None,1,0.1384,LOW
Atorvastatin,Phenytoin,CYP3A4,None,None,None,None,1,0.4127,MEDIUM
Risedronate,Protriptyline,None,None,None,None,None,0,0.0335,LOW
Indinavir,Zonisamide,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Valsartan,Atazanavir,None,None,None,None,None,0,0.0646,LOW
Empagliflozin,Indinavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Olmesartan,Rizatriptan,None,None,None,None,Dizziness,0,0.1461,LOW
Fluoxetine,Levalbuterol,None,None,None,None,None,0,0.0708,LOW
Fluconazole,Alprazolam,None,None,None,P-glycoprotein (P-gp),None,0,0.1315,LOW
Irbesartan,Dapagliflozin,None,None,None,BCRP,None,1,0.1,LOW
Apixaban,Linagliptin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Warfarin,Azithromycin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Nebivolol,Levofloxacin,None,None,None,None,None,0,0.0243,LOW
Valsartan,Eprosartan,CYP2C9;CYP3A4,Angiotensin II receptor type 1 (AT1),Renin-angiotensin-aldosterone system (RAAS),OATP1B1;BCRP,Hyperkalemia;Hypotension;Dizziness;Renal impairment,1,0.9976,CRITICAL
Indacaterol,Olodaterol,Sulfotransferase (SULT),Beta-2 adrenergic receptor,Bronchodilation signaling pathway,OCT1,Tremor;Palpitations;Hypokalemia;Tachycardia,1,0.9644,CRITICAL
Fluvoxamine,Valproate,CYP2C19,None,None,P-glycoprotein (P-gp),None,1,0.4545,MEDIUM
Timolol,Nizatidine,None,None,None,None,None,0,0.0479,LOW
Nebivolol,Torsemide,None,None,None,None,None,0,0.0334,LOW
Diltiazem,Fidaxomicin,None,None,None,P-glycoprotein (P-gp),None,1,0.1234,LOW
Indacaterol,Alprazolam,None,None,None,None,None,0,0.0656,LOW
Esomeprazole,Paliperidone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4884,MEDIUM
Pamidronate,Oxazepam,None,None,None,None,None,0,0.0235,LOW
Azilsartan,Methylprednisolone,CYP3A4,None,None,None,None,1,0.3882,MEDIUM
Zonisamide,Triamcinolone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.499,MEDIUM
Verapamil,Triazolam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5441,HIGH
Lovastatin,Losartan,CYP3A4,None,None,OATP1B1;BCRP,None,1,0.4587,MEDIUM
Trandolapril,Celecoxib,None,None,None,None,None,0,0.0584,LOW
Fosinopril,Citalopram,None,None,None,None,None,0,0.0503,LOW
Diltiazem,Alprazolam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5454,HIGH
Betamethasone,Alprazolam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5493,HIGH
Levofloxacin,Dexamethasone,None,None,None,None,None,0,0.0167,LOW
Nifedipine,Losartan,CYP3A4,None,None,None,Dizziness,1,0.5342,HIGH
Dexlansoprazole,Clarithromycin,None,None,None,P-glycoprotein (P-gp),None,1,0.1052,LOW
Nimodipine,Piroxicam,None,None,None,None,None,0,0.0741,LOW
Empagliflozin,Hydrocortisone,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Isavuconazole,Zonisamide,None,None,None,P-glycoprotein (P-gp),None,0,0.1299,LOW
Oxcarbazepine,Tamsulosin,CYP3A4,None,None,P-glycoprotein (P-gp),Dizziness,1,0.6502,HIGH
Warfarin,Temazepam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5442,HIGH
Telithromycin,Clozapine,None,None,None,P-glycoprotein (P-gp),QTc prolongation,0,0.299,MEDIUM
Nimodipine,Clarithromycin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Valproate,Zonisamide,CYP2C9;CYP2C19;CYP3A4,Voltage-gated sodium channel (SCN1A/SCN5A),Neuronal excitability pathway,P-glycoprotein (P-gp),Dizziness;Nystagmus;Leucopenia;Stevens-Johnson syndrome;Ataxia,1,1.0,CRITICAL
Verapamil,Ofloxacin,None,None,None,None,None,0,0.0757,LOW
Ofloxacin,Dexamethasone,None,None,None,None,None,0,0.0219,LOW
Zoledronic acid,Prazosin,None,None,None,None,None,0,0.0664,LOW
Desipramine,Lurasidone,CYP2D6;CYP1A2,None,None,P-glycoprotein (P-gp),QTc prolongation;Sedation,1,0.7162,HIGH
Atorvastatin,Pantoprazole,CYP3A4,None,None,None,Headache,1,0.5113,HIGH
Propranolol,Chlorthalidone,None,None,None,None,None,0,0.0544,LOW
Oxcarbazepine,Aripiprazole,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.459,MEDIUM
Saquinavir,Hydrochlorothiazide,None,None,None,None,None,0,0.0116,LOW
Isradipine,Candethartan,CYP3A4,None,None,None,Dizziness,1,0.588,HIGH
Pamidronate,Terazosin,None,None,None,None,None,0,0.0708,LOW
Atenolol,Ofloxacin,None,None,None,None,None,0,0.0515,LOW
Ketorolac,Dulaglutide,None,None,None,None,None,0,0.0767,LOW
Lansoprazole,Temazepam,CYP2C19;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5546,HIGH
Gliclazide,Ziprasidone,None,None,None,None,None,0,0.0264,LOW
Pravastatin,Methylprednisolone,CYP3A4,None,None,None,None,1,0.4138,MEDIUM
Lovastatin,Lopinavir,None,None,None,None,None,0,0.0251,LOW
Nadolol,Gliclazide,None,None,None,None,None,0,0.0121,LOW
Labetalol,Glyburide,None,None,None,None,None,0,0.0493,LOW
Metformin,Prazosin,None,None,None,None,None,0,0.0456,LOW
Irbesartan,Triazolam,CYP3A4,None,None,None,None,1,0.3779,MEDIUM
Fondaparinux,Doxepin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Warfarin,Frovatriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1079,LOW
Verapamil,Isradipine,CYP3A4,L-type voltage-gated calcium channel (CACNA1C),Calcium signaling pathway,P-glycoprotein (P-gp),Dizziness;Headache;Peripheral edema;Bradycardia (non-DHPs);Flushing,1,0.9298,CRITICAL
Gemifloxacin,Itraconazole,None,None,None,None,QTc prolongation,0,0.106,LOW
Clevidipine,Topiramate,CYP3A4,None,None,P-glycoprotein (P-gp),Dizziness,1,0.6242,HIGH
Betamethasone,Risperidone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5288,HIGH
Salmeterol,Lurasidone,None,None,None,None,None,0,0.0737,LOW
Naproxen,Indinavir,None,None,None,None,None,0,0.0298,LOW
Azithromycin,Furosemide,None,None,None,None,None,0,0.0558,LOW
Nicardipine,Canagliflozin,None,None,None,P-glycoprotein (P-gp),None,0,0.1183,LOW
Sumatriptan,Indacaterol,None,None,None,None,None,0,0.0626,LOW
Felodipine,Ibandronate,None,None,None,None,None,0,0.0549,LOW
Linagliptin,Exenatide,None,None,None,None,None,0,0.074,LOW
Lansoprazole,Bisoprolol,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Norfloxacin,Doxepin,None,None,None,None,QTc prolongation,1,0.1777,LOW
Delafloxacin,Edoxaban,None,None,None,None,None,0,0.0261,LOW
Quinapril,Linagliptin,None,None,None,None,None,0,0.0123,LOW
Metoprolol,Prednisone,None,None,None,P-glycoprotein (P-gp),None,0,0.1342,LOW
Empagliflozin,Chlordiazepoxide,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Simvastatin,Prazosin,CYP3A4,None,None,None,None,1,0.3949,MEDIUM
Voriconazole,Clozapine,None,None,None,P-glycoprotein (P-gp),QTc prolongation,0,0.2664,MEDIUM
Telithromycin,Torsemide,None,None,None,None,None,0,0.0638,LOW
Metformin,Olanzapine,None,None,None,None,None,0,0.0629,LOW
Nifedipine,Fluvoxamine,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Nisoldipine,Glimepiride,None,None,None,None,None,0,0.0111,LOW
Dabigatran,Betamethasone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4556,MEDIUM
Ziprasidone,Lixisenatide,None,None,None,None,None,0,0.0403,LOW
Labetalol,Dulaglutide,None,None,None,None,None,0,0.0757,LOW
Quinapril,Risedronate,None,None,None,None,None,0,0.0554,LOW
Azilsartan,Sumatriptan,None,None,None,None,Dizziness,1,0.1828,LOW
Telmisartan,Diazepam,CYP3A4,None,None,None,None,1,0.3835,MEDIUM
Perindopril,Diazepam,None,None,None,None,None,0,0.021,LOW
Ibandronate,Etidronate,Not metabolized,Farnesyl pyrophosphate synthase (FPPS),Mevalonate pathway / Osteoclast apoptosis,Not fully characterized (renal excretion),Osteonecrosis of the jaw;Atypical femur fractures;Hypocalcemia;Esophagitis,1,0.9689,CRITICAL
Edoxaban,Alfuzosin,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5497,HIGH
Indomethacin,Olodaterol,None,None,None,None,None,0,0.0716,LOW
Telmisartan,Alendronate,None,None,None,None,None,0,0.0303,LOW
Atazanavir,Vilanterol,None,None,None,None,None,0,0.0109,LOW
Eletriptan,Quetiapine,CYP1A2,None,None,P-glycoprotein (P-gp),None,1,0.4589,MEDIUM
Nadolol,Paliperidone,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.5025,HIGH
Nizatidine,Vildagliptin,None,None,None,None,Headache,0,0.1255,LOW
Famotidine,Hydrocortisone,None,None,None,None,None,0,0.0691,LOW
Felodipine,Sertraline,None,None,None,P-glycoprotein (P-gp),None,0,0.1151,LOW
Cimetidine,Protriptyline,None,None,None,None,None,0,0.0112,LOW
Nadolol,Levofloxacin,None,None,None,None,None,0,0.0127,LOW
Nabumetone,Clonazepam,None,None,None,None,None,0,0.0246,LOW
Prazosin,Triamcinolone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5108,HIGH
Terazosin,Protriptyline,CYP2D6,None,None,P-glycoprotein (P-gp),Orthostatic hypotension,1,0.6846,HIGH
Amitriptyline,Linagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1393,LOW
Dapagliflozin,Paliperidone,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Levofloxacin,Dapagliflozin,None,None,None,None,None,0,0.0642,LOW
Erythromycin,Lamotrigine,None,None,None,P-glycoprotein (P-gp),None,0,0.1299,LOW
Pantoprazole,Albuterol,None,None,None,None,None,0,0.0688,LOW
Ofloxacin,Phenytoin,None,None,None,None,None,0,0.0614,LOW
Edoxaban,Albuterol,None,None,None,None,None,0,0.0233,LOW
Simvastatin,Lopinavir,None,None,None,None,None,0,0.0733,LOW
Bisoprolol,Clevidipine,None,None,None,P-glycoprotein (P-gp),None,0,0.1256,LOW
Norfloxacin,Etidronate,None,None,None,None,None,0,0.0542,LOW
Pravastatin,Fludrocortisone,CYP3A4,None,None,None,None,1,0.4182,MEDIUM
Propranolol,Paliperidone,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.5047,HIGH
Rabeprazole,Zolmitriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Sotagliflozin,Eletriptan,None,None,None,P-glycoprotein (P-gp),None,1,0.1361,LOW
Prazosin,Semaglutide,None,None,None,None,None,0,0.036,LOW
Alendronate,Alfuzosin,None,None,None,None,None,0,0.0638,LOW
Clevidipine,Olodaterol,None,None,None,None,None,0,0.0164,LOW
Trandolapril,Furosemide,None,None,None,None,None,0,0.0675,LOW
Etodolac,Eprosartan,CYP2C9,None,None,None,None,1,0.3833,MEDIUM
Indomethacin,Bumetanide,None,None,None,OAT1;OAT3,None,0,0.1,LOW
Clevidipine,Glyburide,None,None,None,None,None,0,0.0764,LOW
Edoxaban,Carbamazepine,CYP2C9;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.539,HIGH
Doxazosin,Hydrocortisone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5499,HIGH
Diltiazem,Albuterol,None,None,None,None,None,0,0.0317,LOW
Simvastatin,Lurasidone,CYP3A4,None,None,None,None,1,0.4108,MEDIUM
Gliclazide,Nabumetone,CYP2C9,None,None,None,None,1,0.4232,MEDIUM
Glyburide,Chlorpropamide,CYP2C9,Sulfonylurea receptor 1 (SUR1 / ABCC8),Insulin secretion pathway,OATP1B1,Weight gain;Hypoglycemia;Hypersensitivity reactions,1,0.9259,CRITICAL
Carvedilol,Salmeterol,None,Beta-2 adrenergic receptor,None,None,None,1,0.131,LOW
Diclofenac,Olodaterol,None,None,None,None,None,0,0.0526,LOW
Zonisamide,Olanzapine,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5216,HIGH
Escitalopram,Nabumetone,None,None,None,None,None,0,0.0714,LOW
Budesonide,Desipramine,None,None,None,P-glycoprotein (P-gp),Weight gain,1,0.2702,MEDIUM
Pitavastatin,Esmolol,None,None,None,None,None,0,0.04,LOW
Paroxetine,Clozapine,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.5382,HIGH
Ibandronate,Topiramate,None,None,None,None,None,0,0.0782,LOW
Enalapril,Propranolol,None,None,None,None,None,0,0.0431,LOW
Ertugliflozin,Silodosin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Clevidipine,Ibuprofen,None,None,None,None,None,0,0.0374,LOW
Simvastatin,Prednisone,CYP3A4,None,None,None,None,1,0.4346,MEDIUM
Escitalopram,Torsemide,None,None,None,None,None,0,0.0293,LOW
Esmolol,Indacaterol,None,Beta-2 adrenergic receptor,None,None,None,1,0.1039,LOW
Lamotrigine,Vilanterol,None,None,None,None,None,0,0.0419,LOW
Bisoprolol,Amitriptyline,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.5061,HIGH
Ramipril,Carvedilol,None,None,None,None,None,0,0.0642,LOW
Omeprazole,Cariprazine,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5046,HIGH
Desipramine,Olanzapine,CYP2D6;CYP1A2,None,None,P-glycoprotein (P-gp),QTc prolongation;Sedation,1,0.6648,HIGH
Esomeprazole,Alendronate,None,None,None,None,None,0,0.0168,LOW
Nisoldipine,Aripiprazole,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4613,MEDIUM
Rivaroxaban,Temazepam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4655,MEDIUM
Ibandronate,Temazepam,None,None,None,None,None,0,0.058,LOW
Esomeprazole,Ketorolac,None,None,None,None,None,0,0.0468,LOW
Silodosin,Levalbuterol,None,None,None,None,None,0,0.0708,LOW
Topiramate,Prednisone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5312,HIGH
Clarithromycin,Albuterol,None,None,None,None,None,0,0.0744,LOW
Rivaroxaban,Levalbuterol,None,None,None,None,None,0,0.0475,LOW
Citalopram,Nabumetone,None,None,None,None,None,0,0.0707,LOW
Fluvoxamine,Fidaxomicin,None,None,None,P-glycoprotein (P-gp),None,0,0.1334,LOW
Fosinopril,Sertraline,None,None,None,None,None,0,0.0775,LOW
Lansoprazole,Indapamide,None,None,None,None,None,0,0.0771,LOW
Pantoprazole,Tamsulosin,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4915,MEDIUM
Nicardipine,Alfuzosin,CYP3A4,None,None,P-glycoprotein (P-gp),Dizziness,1,0.6349,HIGH
Doxepin,Exenatide,None,None,None,None,None,0,0.0779,LOW
Ciprofloxacin,Alendronate,None,None,None,None,None,0,0.0692,LOW
Alendronate,Prednisone,None,None,None,None,None,0,0.0332,LOW
Pantoprazole,Naratriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1224,LOW
Vilanterol,Alprazolam,None,None,None,None,None,0,0.0174,LOW
Losartan,Hydrochlorothiazide,None,None,None,None,None,0,0.0251,LOW
Dapagliflozin,Prazosin,None,None,None,P-glycoprotein (P-gp),None,0,0.1453,LOW
Pravastatin,Atazanavir,None,None,None,None,None,0,0.0484,LOW
Alfuzosin,Diazepam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5493,HIGH
Ertugliflozin,Fludrocortisone,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Nadolol,Etodolac,None,None,None,None,None,0,0.024,LOW
Levofloxacin,Vildagliptin,None,None,None,None,None,0,0.0437,LOW
Eletriptan,Vilanterol,None,None,None,None,None,0,0.032,LOW
Norfloxacin,Doxazosin,None,None,None,None,None,0,0.0736,LOW
Tolbutamide,Dabigatran,CYP2C9,None,None,None,None,1,0.3787,MEDIUM
Citalopram,Azithromycin,None,None,None,P-glycoprotein (P-gp),None,0,0.1385,LOW
Pravastatin,Paroxetine,None,None,None,None,None,0,0.042,LOW
Perindopril,Dabigatran,None,None,None,None,None,0,0.0589,LOW
Silodosin,Semaglutide,None,None,None,None,None,0,0.0468,LOW
Norfloxacin,Warfarin,None,None,None,None,None,0,0.0699,LOW
Clevidipine,Sertraline,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Lisinopril,Escitalopram,None,None,None,None,None,0,0.0677,LOW
Zolmitriptan,Chlorthalidone,None,None,None,None,None,0,0.0253,LOW
Empagliflozin,Itraconazole,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Atorvastatin,Nicardipine,CYP3A4,None,None,None,Headache,1,0.5252,HIGH
Terazosin,Liraglutide,None,None,None,None,None,0,0.0645,LOW
Cimetidine,Triamcinolone,None,None,None,None,None,0,0.0724,LOW
Simvastatin,Oxcarbazepine,CYP3A4,None,None,None,None,1,0.4459,MEDIUM
Clevidipine,Etodolac,None,None,None,None,None,0,0.0496,LOW
Nifedipine,Edoxaban,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5259,HIGH
Pravastatin,Carbamazepine,CYP3A4,None,None,None,None,1,0.4472,MEDIUM
Timolol,Ketorolac,None,None,None,None,None,0,0.0715,LOW
Moxifloxacin,Alprazolam,None,None,None,None,None,0,0.0406,LOW
Isradipine,Ranitidine,None,None,None,None,Dizziness;Headache,1,0.1645,LOW
Gemifloxacin,Zolmitriptan,None,None,None,None,None,0,0.0614,LOW
Fluvastatin,Salmeterol,None,None,None,None,None,0,0.0697,LOW
Esmolol,Candethartan,None,None,None,None,None,0,0.0743,LOW
Glipizide,Amitriptyline,None,None,None,None,Weight gain,0,0.1398,LOW
Carvedilol,Frovatriptan,None,None,None,P-glycoprotein (P-gp),None,1,0.1222,LOW
